species,source_plate,source_well,starting_volume_ul
laji1,Sarstedt 96 Well Plate 2200 µL on 4,A1,1000.0
laji2,Sarstedt 96 Well Plate 2200 µL on 4,E1,1000.0
laji3,Sarstedt 96 Well Plate 2200 µL on 4,A2,1000.0
laji4,Sarstedt 96 Well Plate 2200 µL on 4,E2,1000.0
laji5,Sarstedt 96 Well Plate 2200 µL on 4,A3,1000.0
laji6,Sarstedt 96 Well Plate 2200 µL on 4,E3,1000.0
CONTROL_BLOCK_1,Sarstedt 96 Well Plate 2200 µL on 4,A4,1000.0
laji7,Sarstedt 96 Well Plate 2200 µL on 4,E4,1000.0
laji8,Sarstedt 96 Well Plate 2200 µL on 4,A5,1000.0
laji9,Sarstedt 96 Well Plate 2200 µL on 4,E5,1000.0
laji10,Sarstedt 96 Well Plate 2200 µL on 4,A6,1000.0
laji11,Sarstedt 96 Well Plate 2200 µL on 4,E6,1000.0
laji12,Sarstedt 96 Well Plate 2200 µL on 4,A7,1000.0
CONTROL_BLOCK_2,Sarstedt 96 Well Plate 2200 µL on 4,E7,1000.0
laji13,Sarstedt 96 Well Plate 2200 µL on 4,A8,1000.0
laji14,Sarstedt 96 Well Plate 2200 µL on 4,E8,1000.0
laji15,Sarstedt 96 Well Plate 2200 µL on 4,A9,1000.0
laji16,Sarstedt 96 Well Plate 2200 µL on 4,E9,1000.0
laji17,Sarstedt 96 Well Plate 2200 µL on 4,A10,1000.0
laji18,Sarstedt 96 Well Plate 2200 µL on 4,E10,1000.0
CONTROL_BLOCK_3,Sarstedt 96 Well Plate 2200 µL on 4,A11,1000.0
